Fiscal Year,US Category Name,US Sector Name,Current Dollar Amount,Activity Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name
2021,Peace and Security,Stabilization Operations and Security Sector Reform,23258,"Bureau of International Narcotics and Law Enforcement Affairs - INL-P RENOVATION OF FIA HQS BUILDING & ENTENSION,",Government,Government - Non United States,Government - Country Other
2021,Peace and Security,Counter-Terrorism,22835,Bureau of Counterterrorism - 18-255 CT 2607 ICITAP Pakistan Mentor - Karachi,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,22219,Bureau of International Narcotics and Law Enforcement Affairs - INL-P FUNDS FOR AGRICULTURAL ACTIVITIES(COMMODITIE,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Multi-sector,Multi-sector - Unspecified,22219,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,21899,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPLY SCHEME,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,21013,USAID Pay and Benefits,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,20068,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,19984,Administration and Oversight,Government,Government - United States,U.S. Government - Department of State
2021,"Democracy, Human Rights, and Governance",Civil Society,19980,Media Freedom and Freedom of Information,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Stabilization Operations and Security Sector Reform,19653,"Bureau of International Narcotics and Law Enforcement Affairs - Design-build Rappelling Tower, Islamabad, Pakistan",Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,19637,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Multi-sector,Multi-sector - Unspecified,19369,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Economic Development,Infrastructure,19350,Modern Energy Services,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,19102,USAID Data Services,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Program Support,Direct Administrative Costs,19086,Administration and Oversight,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,18399,Bureau of International Narcotics and Law Enforcement Affairs - INL IAA - FY 20 19 OPDAT Pakistan Rule of Law $1M,Government,Government - United States,U.S. Government - Department of Justice
2021,Program Support,Direct Administrative Costs,17592,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Terrorism,17517,Bureau of Counterterrorism - Pakistan CTF ROL,NGO,NGO - United States,American Bar Association
2021,"Democracy, Human Rights, and Governance",Good Governance,17501,Agreement with Provincial Reconstruction Rehabilitation & Settlement Authority for Partially damaged Basic Health Units,Government,Government - Non United States,Government of Pakistan
2021,Peace and Security,Counter-Narcotics,17276,"Bureau of International Narcotics and Law Enforcement Affairs - INL-P AGRICULTURAL ACTIVITIES(COMMODITIES) IN KHYBER DISTRICT KPK UNDER KADP PIL 2018-CN-03 DTD JANUARY 28, 2019.",Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,17029,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,16872,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Economic Development,Agriculture,16266,Agricultural Sector Capacity,Government,Government - United States,U.S. Government - Department of Agriculture
2021,Peace and Security,Counter-Narcotics,16164,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPPLY PROJEC,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,15820,Bureau of International Narcotics and Law Enforcement Affairs - INL IAA - FY 20 19 OPDAT Pakistan Rule of Law $1M,Government,Government - United States,U.S. Government - Department of Justice
2021,Program Support,Direct Administrative Costs,15739,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,15643,Bureau of International Narcotics and Law Enforcement Affairs - Pakistan RLA Program,Government,Government - United States,U.S. Government - Department of Justice
2021,Peace and Security,Counter-Narcotics,15557,Bureau of International Narcotics and Law Enforcement Affairs - INLP CN Motor Bikes for ETNC KP,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,15138,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,14864,Bureau of International Narcotics and Law Enforcement Affairs - INL-P FUNDS FOR AGRICULTURAL ACTIVITIES(COMMODITIE,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Economic Development,Trade and Investment,14858,"Department of Energy, International Nonproliferation Export Control Program",Government,Government - United States,U.S. Government - Department of Energy
2021,Peace and Security,Counter-Terrorism,14836,Bureau of Counterterrorism - Pakistan CTF ROL,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Multi-sector,Multi-sector - Unspecified,14076,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Stabilization Operations and Security Sector Reform,13800,Bureau of International Narcotics and Law Enforcement Affairs - Lease OBO 980-Benjamin Chamble-12/01/20-05/31/2021,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,13800,"Bureau of International Narcotics and Law Enforcement Affairs - INL-P funds for payment of leaseS-707-OBO-980, Ben",Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,13800,Bureau of International Narcotics and Law Enforcement Affairs - INLP Mgt Laptops for INL Staff on telework,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,13444,Bureau of International Narcotics and Law Enforcement Affairs - INLP Mgt Laptops for INL Staff Teleworking,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,13277,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPLY SCHEME,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,12660,Bureau of International Narcotics and Law Enforcement Affairs - INL-P AGRICULTURE ACTIVITIES(COMMODITIES) IN MOHAM,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,12520,"Bureau of International Narcotics and Law Enforcement Affairs - INL-P AGRICULTURAL ACTIVITIES(COMMODITIES) IN KHYBER DISTRICT KPK UNDER KADP PIL 2018-CN-03 DTD JANUARY 28, 2019.",Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,"Democracy, Human Rights, and Governance",Civil Society,12451,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Government,Government - United States,U.S. Government - Department of State
2021,Program Support,Direct Administrative Costs,12422,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,12024,Bureau of International Narcotics and Law Enforcement Affairs - OPS SUPPORT SVCS UNDER PIL-2020-CN-03,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Health,Family Planning and Reproductive Health,11802,Program Management Services for the Repair/Renovation of MCH Centers in Sindh Province,Enterprises,Enterprises - Non United States,EA Consulting Pvt Ltd.
2021,"Democracy, Human Rights, and Governance",Civil Society,11771,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,11760,USAID Pay and Benefits,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2021,Program Support,Direct Administrative Costs,11620,USAID Travel and Transportation,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2021,Peace and Security,Counter-Narcotics,11468,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Program Advisor,Enterprises,Enterprises - United States,Celestar Corporation
2021,Peace and Security,Counter-Narcotics,11468,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Program Advisor,Enterprises,Enterprises - United States,Celestar Corporation
2021,Peace and Security,Stabilization Operations and Security Sector Reform,11299,Bureau of International Narcotics and Law Enforcement Affairs - INLP PAP Sindh Police IBIS System Annual Maintena,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,11165,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,11111,Bureau of International Narcotics and Law Enforcement Affairs - INL-P FUNDS FOR AGRICULTURAL ACTIVITIES(COMMODITIE,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Terrorism,11087,Bureau of Counterterrorism - Pakistan CTF ROL,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,11064,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPPLY PROJEC,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Terrorism,10916,Bureau of Counterterrorism - Pakistan CTF ROL,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Humanitarian Assistance,"Protection, Assistance and Solutions",10734,PROD,Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2021,Health,Family Planning and Reproductive Health,10708,Sustaining Health Outcomes through the Private Sector (SHOPS) Plus,Enterprises,Enterprises - United States,"Abt Associates, Inc."
2021,Peace and Security,Counter-Terrorism,10673,Bureau of Counterterrorism - Pakistan CTF ROL,NGO,NGO - United States,American Bar Association
2021,Peace and Security,Counter-Narcotics,10628,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPPLY SCHEME,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Terrorism,10457,Bureau of Counterterrorism - Pakistan CTF ROL,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,10426,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Program Advisor,Enterprises,Enterprises - United States,Celestar Corporation
2021,Peace and Security,Counter-Narcotics,10374,Bureau of International Narcotics and Law Enforcement Affairs - OPS SUPPORT SVCS UNDER PIL-2020-CN-03,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,10294,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPPLY PROJEC,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,10165,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Program Advisor,Enterprises,Enterprises - United States,Celestar Corporation
2021,Peace and Security,Stabilization Operations and Security Sector Reform,10164,Bureau of International Narcotics and Law Enforcement Affairs - PIL 2018-PAP-028 Rawalpindi Railways Police Women',Government,Government - Non United States,Government - Country Other
2021,Program Support,Direct Administrative Costs,10092,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Program Support,Direct Administrative Costs,10091,USAID Wide Area and Metropolitan Area Network Connectivity,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Terrorism,10026,Bureau of Counterterrorism - Pakistan CTF ROL,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,9845,Bureau of International Narcotics and Law Enforcement Affairs - Pakistan FY2021 ITCC Bill,Government,Government - United States,U.S. Government - Department of State
2021,Peace and Security,Counter-Narcotics,9845,Bureau of International Narcotics and Law Enforcement Affairs - Pakistan FY2021 ITCC Bill,Government,Government - United States,U.S. Government - Department of State
2021,Peace and Security,Conflict Mitigation and Reconciliation,9787,Khyber Pakhtunkhwa Municipal Services Program,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,9768,Bureau of International Narcotics and Law Enforcement Affairs - 14 DOJ OPDAT Pakistan RLA Program,Government,Government - United States,U.S. Government - Department of Justice
2021,Multi-sector,Multi-sector - Unspecified,9339,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Education and Social Services,Basic Education,9296,Advancing Girls Education and Skills (AGES),NGO,NGO - United States,"World Learning, Inc."
2021,Program Support,Direct Administrative Costs,8972,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,8882,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Economic Development,Economic Opportunity,8844,Small and Medium Enterprise Activity (SMEA),Enterprises,Enterprises - United States,"Chemonics International, Inc."
2021,Peace and Security,Stabilization Operations and Security Sector Reform,8840,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Management Analyst,Enterprises,Enterprises - United States,Celestar Corporation
2021,Peace and Security,Counter-Terrorism,8827,Bureau of Counterterrorism - Pakistan CTF ROL,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,8669,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPPLY PROJEC,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,8601,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Program Advisor,Enterprises,Enterprises - United States,Celestar Corporation
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,8506,Bureau of International Security and Nonproliferation: Information Redacted,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,8424,Bureau of International Security and Nonproliferation: Information Redacted,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Stabilization Operations and Security Sector Reform,8292,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Management Analyst,Enterprises,Enterprises - United States,Celestar Corporation
2021,Peace and Security,Stabilization Operations and Security Sector Reform,8167,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Management Analyst,Enterprises,Enterprises - United States,Celestar Corporation
2021,Program Support,Direct Administrative Costs,8135,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Health,Health - General,7982,GH15-1632.NU2G GLOBAL HEALTH SECURITY PARTNER ENGAGEMENT: EXPANDING EFFORTS AND STRATEGIES TO PROTE,NGO,NGO - United States,Health Security Partners
2021,Multi-sector,Multi-sector - Unspecified,7853,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,7647,Bureau of International Narcotics and Law Enforcement Affairs - OPS SUPPORT SVCS UNDER PIL-2020-CN-03,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,7574,Gender Equity Project,NGO,NGO - Non United States,Aurat Publication and Information Service Foundation
2021,Program Support,Direct Administrative Costs,7493,USAID Wide Area and Metropolitan Area Network Connectivity,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Multi-sector,Multi-sector - Unspecified,7470,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,7386,Bureau of International Narcotics and Law Enforcement Affairs - OPS SUPPORT SVCS UNDER PIL-2020-CN-03,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,7237,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPLY SCHEME,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Health,Water Supply and Sanitation,7158,Agreement with Provincial Reconstruction Rehabilitation & Settlement Authority for 13 Water Supply Schemes,Government,Government - Non United States,Government of Pakistan
2021,Program Support,Direct Administrative Costs,7069,USAID Travel and Transportation,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,6935,Bureau of International Narcotics and Law Enforcement Affairs - INL-P; Transprt surcharge for PR9071425,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,6915,USAID Pay and Benefits,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,6894,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,6891,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,6752,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,6739,Bureau of International Narcotics and Law Enforcement Affairs - Transportation surcharges for PR9067166,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Stabilization Operations and Security Sector Reform,6574,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Management Analyst,Enterprises,Enterprises - United States,Celestar Corporation
2021,Humanitarian Assistance,"Protection, Assistance and Solutions",6492,"Protection, Assistance and Solutions",Government,Government - United States,U.S. Government - U.S. Agency for International Development
2021,Peace and Security,Counter-Narcotics,6489,Bureau of International Narcotics and Law Enforcement Affairs - OPS SUPPORT SVCS UNDER PIL-2020-CN-03,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,6279,GenDev Multi-year Training Assistance Request (MTAR),Enterprises,Enterprises - United States,"EnCompass, LLC"
2021,Program Support,Direct Administrative Costs,5874,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Terrorism,5789,Bureau of International Security and Nonproliferation - Strategic Trade Control Experts,Government,Government - United States,U.S. Government - Department of State
2021,Program Support,Direct Administrative Costs,5314,USAID Advisory and Assistance Services,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,5218,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,5216,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPPLY SCHEME,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,4763,Bureau of International Narcotics and Law Enforcement Affairs - INL-P;Transport surcharge for PR9067032,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,4729,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Multi-sector,Multi-sector - Unspecified,4660,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,4624,Bureau of International Narcotics and Law Enforcement Affairs - OPS SUPPORT SVCS UNDER PIL-2020-CN-03,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,4590,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Health,Health - General,4485,GH15-1632.NU2G GLOBAL HEALTH SECURITY PARTNER ENGAGEMENT: EXPANDING EFFORTS AND STRATEGIES TO PROTE,NGO,NGO - United States,Health Security Partners
2021,Humanitarian Assistance,"Protection, Assistance and Solutions",4461,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2021,Program Support,Direct Administrative Costs,4308,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Program Support,Direct Administrative Costs,4282,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4216,Bureau of International Narcotics and Law Enforcement Affairs - PAK UH 1 LE 16944z,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,4215,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Peace and Security,Counter-Narcotics,4156,Bureau of International Narcotics and Law Enforcement Affairs - ISB AK FAC Make Ready Residence 1 84 G 6 4 TOOB,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Stabilization Operations and Security Sector Reform,3984,Bureau of International Narcotics and Law Enforcement Affairs - TPC: INL/AP Management Analyst,Enterprises,Enterprises - United States,Celestar Corporation
2021,Peace and Security,Counter-Narcotics,3942,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,3891,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Enterprises,Enterprises - Non United States,Unspecified Vendors - Bosnia and Herzegovina
2021,Peace and Security,Counter-Narcotics,3841,Bureau of International Narcotics and Law Enforcement Affairs - INL-P; Transprt surcharge for PR9071425,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,3744,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,3723,Bureau of International Narcotics and Law Enforcement Affairs - INLP Mgt Shredder for INL Office Space,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,3676,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPLY SCHEME,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,3633,Bureau of International Narcotics and Law Enforcement Affairs - INL-P CONSTRUCTION OF DRINKING WATER SUPPLY PROJEC,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Education and Social Services,Higher Education,3591,Higher Education System Strengthening Activity (HESSA),Universities and Research Institutes,Universities and Research Institutes - United States,University of Utah
2021,Program Support,Direct Administrative Costs,3497,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,3482,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Multi-sector,Multi-sector - Unspecified,3471,The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,3455,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,3313,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,3279,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Humanitarian Assistance,"Protection, Assistance and Solutions",3278,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2021,Program Support,Direct Administrative Costs,3237,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,3173,Bureau of International Narcotics and Law Enforcement Affairs - INL-P FUNDS FOR AGRICULTURAL ACTIVITIES (OPERATIO,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,3096,Bureau of International Narcotics and Law Enforcement Affairs - INLP Commo Batteries and charges for Commo sectio,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Program Support,Direct Administrative Costs,2963,Operations and Maintenance Support for USAID IT Services,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Program Support,Direct Administrative Costs,2946,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,2814,"Bureau of International Narcotics and Law Enforcement Affairs - INL-P AGRICULTURE ACTIVITIES(OPERATIONAL COST) IN MOHAMAND DISTRICT KPK UNDER MADP PIL 2018-CN-03 DTD JANUARY 28, 2019.",Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2810,Bureau of International Security and Nonproliferation: Information Redacted,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2021,Peace and Security,Counter-Narcotics,2721,Bureau of International Narcotics and Law Enforcement Affairs - Transportation surcharges for PR9067166,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2021,Peace and Security,Counter-Narcotics,2689,Bureau of International Narcotics and Law Enforcement Affairs - INL-P;Transport surcharge for PR9067032,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
